61
1.0000000 0.0012573
0.9972610 0.0018404
0.9890738 0.0035193
0.9755283 0.0062543
0.9567727 0.0099546
0.9330127 0.0145012
0.9045085 0.0197532
0.8715724 0.0255544
0.8345653 0.0317399
0.7938927 0.0381402
0.7500000 0.0445854
0.7033683 0.0509071
0.6545085 0.0569397
0.6039559 0.0625209
0.5522643 0.0674934
0.5000000 0.0717068
0.4477358 0.0750208
0.3960442 0.0773074
0.3454915 0.0782612
0.2966317 0.0777014
0.2500000 0.0756319
0.2061074 0.0721025
0.1654347 0.0672092
0.1284276 0.0610904
0.0954915 0.0539209
0.0669873 0.0459015
0.0432273 0.0372471
0.0244717 0.0281710
0.0109262 0.0188705
0.0027391 0.0095185
0.0000000 0.0000000
0.0027391 -0.0088297
0.0109262 -0.0168248
0.0244717 -0.0238165
0.0432273 -0.0297624
0.0669873 -0.0346328
0.0954915 -0.0384131
0.1284276 -0.0411117
0.1654347 -0.0427667
0.2061074 -0.0434505
0.2500000 -0.0432704
0.2966317 -0.0423649
0.3454915 -0.0408955
0.3960442 -0.0390370
0.4477358 -0.0368194
0.5000000 -0.0341724
0.5522643 -0.0312279
0.6039559 -0.0281082
0.6545085 -0.0249188
0.7033683 -0.0217466
0.7500000 -0.0186605
0.7938927 -0.0157147
0.8345653 -0.0129519
0.8715724 -0.0104082
0.9045085 -0.0081156
0.9330127 -0.0061049
0.9567727 -0.0044063
0.9755283 -0.0030486
0.9890738 -0.0020576
0.9972610 -0.0014539
1.0000000 -0.0012573
